"","SeedDiff","ORtg1","DRtg1","eFG1","eFGAllowed1","tov1","tovForced1","FT1","FTAllowed1","Rebs1","RebAllowed1","Steals1","StealsAllowed1","Blocks1","BlocksAllowed1","Ast1","AstAllowed1","fgaMin1","fgaMax1","fgaAllowedMin1","fgaAllowedMax1","fgaRange1","fgaAllowedRange1","finalWinPerc1","avgFinishRank1","sdFinishRank1","avgStartRank1","avgFinalRank1","avgRise1","ORtg2","DRtg2","eFG2","eFGAllowed2","tov2","tovForced2","FT2","FTAllowed2","Rebs2","RebAllowed2","Steals2","StealsAllowed2","Blocks2","BlocksAllowed2","Ast2","AstAllowed2","fgaMin2","fgaMax2","fgaAllowedMin2","fgaAllowedMax2","fgaRange2","fgaAllowedRange2","finalWinPerc2","avgFinishRank2","sdFinishRank2","avgStartRank2","avgFinalRank2","avgRise2","sdScore1","sdFGM1","sdFGA1","sdFGM31","sdFGA31","sdFTM1","sdFTA1","sdOR1","sdDR1","sdAst1","sdTO1","sdStl1","sdBlk1","sdPF1","sdScore2","sdFGM2","sdFGA2","sdFGM32","sdFGA32","sdFTM2","sdFTA2","sdOR2","sdDR2","sdAst2","sdTO2","sdStl2","sdBlk2","sdPF2","effRtg","eFgRtg","tovEff","ftEff","rebEff","stlEff","blkEff","defMetric","astEff","paceDiff","sdRankDiff","rankRiseDiff","logRankDiff"
"1",12,-2.45439608276984,-4.47939593999113,0.512368945132804,0.395780672507252,-0.700380849878182,-0.891669806651382,0.768023593293983,-1.15716028727082,-0.997021326276421,-2.5289979817173,-0.0895344586181364,-0.0970232140879089,-0.0338156711718533,-0.180187816223431,-1.10667983769941,-2.11167267939678,40,64,46,67,24,21,1,140.533333333333,12.9442026000979,129,137.4,-8.4,8.04675926481169,-6.72827429645172,1.85286141367875,-1.2156689766796,-0.482001435283458,1.73572967696121,-0.173016982131181,-0.943165990570192,2.3449710400033,-2.30981556491032,0.211353076332891,-0.0407291095691242,0.0688301254454111,-0.114079875570264,2.98330986221951,-0.238900049515094,51,78,44,70,27,26,0.75,5,2.32379000772445,7.14285714285714,3.71428571428571,3.42857142857143,12.7650396223098,4.21722020252193,6.4004368130503,2.67324457525678,4.65751791389787,6.58672500083001,8.64136090436974,2.40474441447001,4.13014098017598,3.63199639997927,2.570301852488,2.17364467721744,1.77679184130045,3.41060963238482,11.6175617896133,5.22854679742882,7.52951182926867,3.05790883638033,5.53280174606775,4.94974746830583,6.48944552529771,3.24767286410717,5.18683196242674,5.54226793568912,3.22290191817771,3.83899768504833,1.99773056725747,3.53881130944714,-12.7500337040421,-2.9519421177328,2.40902006901787,1.15503487212579,-3.12280994947273,-0.244593430432243,-0.0365378559640974,2.12788878262153,-2.21721707003723,-3,2.07340700319727,1.04663514969279,3.61070999082208
"2",3,7.6900936166134,-3.11363383258003,0.499960046960275,-1.78257217651887,-0.41078321713348,1.53205672661373,2.21260086531658,0.405806620489942,3.26032807277492,-0.753390393200191,0.119537127904263,-0.0217898799722534,0.194115096311045,0.0089812418949359,1.20723862124248,-0.310375005896133,48,73,48,80,25,32,0.6,18.3809523809524,2.74729303999756,34.7142857142857,17.4285714285714,17.2857142857143,8.04675926481169,-6.72827429645172,1.85286141367875,-1.2156689766796,-0.482001435283458,1.73572967696121,-0.173016982131181,-0.943165990570192,2.3449710400033,-2.30981556491032,0.211353076332891,-0.0407291095691242,0.0688301254454111,-0.114079875570264,2.98330986221951,-0.238900049515094,51,78,44,70,27,26,0.75,5,2.32379000772445,7.14285714285714,3.71428571428571,3.42857142857143,9.94340043049721,5.44758078082706,6.3881697004081,3.27698586564489,4.49326094717344,6.37615111413641,7.33350550762069,3.51323256137464,4.02431059407394,4.26734428804699,3.27987435088233,3.00283956523579,1.77578407778341,3.37380730889832,11.6175617896133,5.22854679742882,7.52951182926867,3.05790883638033,5.53280174606775,4.94974746830583,6.48944552529771,3.24767286410717,5.18683196242674,5.54226793568912,3.22290191817771,3.83899768504833,1.99773056725747,3.53881130944714,-3.97130611206998,-0.785998166879205,0.274891168497461,1.03664523638763,-0.641068138938497,-0.110755178025499,0.00222385340043388,0.166359843872396,-1.704596284596,-2,0.133097770613587,2.3059690035564,1.54592450671177
"3",5,11.1344319212098,1.62169430523227,-0.0976615278159378,-0.847845552028314,0.788308076609399,0.413357213629176,1.4353800085087,1.10597492626566,4.52680996155538,-0.10968644975685,0.0621992365379349,0.0536396157350545,0.304204837510165,0.00457245119914998,1.7804679052998,-1.08994556193472,49,84,50,73,35,23,0.25,21.2105263157895,3.30956437832368,14.4285714285714,23,-8.57142857142857,8.04675926481169,-6.72827429645172,1.85286141367875,-1.2156689766796,-0.482001435283458,1.73572967696121,-0.173016982131181,-0.943165990570192,2.3449710400033,-2.30981556491032,0.211353076332891,-0.0407291095691242,0.0688301254454111,-0.114079875570264,2.98330986221951,-0.238900049515094,51,78,44,70,27,26,0.75,5,2.32379000772445,7.14285714285714,3.71428571428571,3.42857142857143,10.1837453500585,4.90299036467838,7.04822100638443,3.16466759198212,6.2028056867112,5.39264732402281,6.57432690041714,3.47107866473438,5.44908619151694,3.66984222215123,4.11417200543713,2.44948974278318,2.71476696558275,4.66185187486967,11.6175617896133,5.22854679742882,7.52951182926867,3.05790883638033,5.53280174606775,4.94974746830583,6.48944552529771,3.24767286410717,5.18683196242674,5.54226793568912,3.22290191817771,3.83899768504833,1.99773056725747,3.53881130944714,-5.26229594528587,-2.31834636614597,2.59268197522489,-0.440743926195972,-0.0182901936013793,-0.243522565099135,0.11672238529534,2.46588179542109,-0.35179644450009,8,0.294822571798899,1.0760600193005,1.82330782696298
"4",1,9.14939336770579,-4.71822371789794,0.39018804552308,-2.91263898881556,-0.619825098870858,1.2544688456234,1.0610418512172,0.98759518432111,3.80947016740536,-0.781674188230575,0.203679126631498,0.0498877301793086,0.700685600204693,0.056129947419524,1.5311397217918,-1.85502266819335,44,80,47,70,36,23,0.5,6.33333333333333,3.33666500166459,21,6,15,8.04675926481169,-6.72827429645172,1.85286141367875,-1.2156689766796,-0.482001435283458,1.73572967696121,-0.173016982131181,-0.943165990570192,2.3449710400033,-2.30981556491032,0.211353076332891,-0.0407291095691242,0.0688301254454111,-0.114079875570264,2.98330986221951,-0.238900049515094,51,78,44,70,27,26,0.75,5,2.32379000772445,7.14285714285714,3.71428571428571,3.42857142857143,12.6369513856223,4.33989371060569,8.07599988815926,2.59962776491732,5.78513110789063,7.00338339891927,8.07768481283368,4.25580722792872,4.93986009335644,4.23491154647315,3.72098993938875,2.80246866979121,3.32254639036523,3.69816323197376,11.6175617896133,5.22854679742882,7.52951182926867,3.05790883638033,5.53280174606775,4.94974746830583,6.48944552529771,3.24767286410717,5.18683196242674,5.54226793568912,3.22290191817771,3.83899768504833,1.99773056725747,3.53881130944714,-0.907416475659677,0.234296643980285,0.34343716775041,-0.696702341542918,-0.0636422492776787,-0.0982907894498264,0.461645651769494,0.706792030070077,0.163952478250536,9,0.302255800960353,2.02134314666231,0.479573080261886
"5",0,13.7218478738198,-3.28709317657513,3.67709605925352,-2.53773249601017,0.747164052323151,0.170491204561007,1.69788548231518,-1.28836114702075,6.09318853499554,-2.06947667269512,0.0490003233606277,0.0676369681743204,0.456186070199162,-0.101896144135473,6.14707761530978,-1.04104511707779,48,75,52,80,27,28,0.875,3.04761904761905,1.5644868320376,20,2.57142857142857,17.4285714285714,8.04675926481169,-6.72827429645172,1.85286141367875,-1.2156689766796,-0.482001435283458,1.73572967696121,-0.173016982131181,-0.943165990570192,2.3449710400033,-2.30981556491032,0.211353076332891,-0.0407291095691242,0.0688301254454111,-0.114079875570264,2.98330986221951,-0.238900049515094,51,78,44,70,27,26,0.75,5,2.32379000772445,7.14285714285714,3.71428571428571,3.42857142857143,10.9908810038432,5.0283509946592,7.34440502729738,2.77498374037728,5.01130628986473,5.92563842390318,7.47193203066949,3.48321669925588,5.27936149112851,4.69279038951546,3.93847514309319,3.02042954766477,2.58819478172799,3.55250909296725,11.6175617896133,5.22854679742882,7.52951182926867,3.05790883638033,5.53280174606775,4.94974746830583,6.48944552529771,3.24767286410717,5.18683196242674,5.54226793568912,3.22290191817771,3.83899768504833,1.99773056725747,3.53881130944714,2.23390748913153,3.14629816490534,2.79440396000681,2.21609762089693,3.50787860277704,-0.270718830715708,0.37517221331896,2.89885734261006,3.96591282065296,0,-0.273603764128405,2.32311385651274,-0.367724780125317
"6",-1,8.04675926481169,-6.72827429645172,1.85286141367875,-1.2156689766796,-0.482001435283458,1.73572967696121,-0.173016982131181,-0.943165990570192,2.3449710400033,-2.30981556491032,0.211353076332891,-0.0407291095691242,0.0688301254454111,-0.114079875570264,2.98330986221951,-0.238900049515094,51,78,44,70,27,26,0.75,5,2.32379000772445,7.14285714285714,3.71428571428571,3.42857142857143,9.83348926250521,-5.55885844192325,4.0981147708761,-1.35585814323722,-1.01600663922131,-0.326344370315601,-0.0219020307118686,-1.09534032466781,4.37492766001338,-4.07407510657324,0.0330721313088351,-0.0942179574595595,0.189018910503713,-0.148050605644635,2.81514400401988,-1.58895222223745,49,78,44,82,29,38,0.6,3.9047619047619,1.60949563232591,21.4285714285714,4,17.4285714285714,11.6175617896133,5.22854679742882,7.52951182926867,3.05790883638033,5.53280174606775,4.94974746830583,6.48944552529771,3.24767286410717,5.18683196242674,5.54226793568912,3.22290191817771,3.83899768504833,1.99773056725747,3.53881130944714,11.7582176293085,5.74472749043799,6.66500926367312,2.53871537545581,4.62290083402317,5.1966991271558,6.90081242472306,3.89662830164902,5.25666964508668,5.29364971194046,3.60344952578061,2.48060659736869,2.73238157857007,4.11574949910632,-0.617314143165041,-2.38544252375496,-1.52806884333896,-0.303289285516934,-3.79421616167301,0.124792097133621,-0.154159515132672,-1.55743626133801,-1.18188631452272,-2,0.255739254693184,-2.32311385651274,-0.0741079721537219
"7",10,2.67877397617888,-5.72041089325224,2.08354784919835,-3.1005293883941,-0.0825203908382465,-0.270097176792903,0.56026864334411,0.386685744992116,1.5119800584033,-1.40610496947426,-0.0439051711003783,0.0409024080340816,0.339940031261324,-0.12348755760037,2.03945146752433,-2.21658869112483,47,69,46,73,22,27,0.571428571428571,40.1333333333333,4.1895561760622,41.6,41.4,0.2,9.83348926250521,-5.55885844192325,4.0981147708761,-1.35585814323722,-1.01600663922131,-0.326344370315601,-0.0219020307118686,-1.09534032466781,4.37492766001338,-4.07407510657324,0.0330721313088351,-0.0942179574595595,0.189018910503713,-0.148050605644635,2.81514400401988,-1.58895222223745,49,78,44,82,29,38,0.6,3.9047619047619,1.60949563232591,21.4285714285714,4,17.4285714285714,11.0315491096027,3.94877234470449,4.84142478402732,2.24663047358672,3.95236791318978,4.29014021103076,6.05436231409246,2.96954235837474,5.13529085069309,3.92061374292497,5.16049240074838,1.98860389583885,2.08393930581076,4.00804115989269,11.7582176293085,5.74472749043799,6.66500926367312,2.53871537545581,4.62290083402317,5.1966991271558,6.90081242472306,3.89662830164902,5.25666964508668,5.29364971194046,3.60344952578061,2.48060659736869,2.73238157857007,4.11574949910632,-6.99316283499733,-0.269895676520859,0.877239054860364,-0.899855395603951,-5.53091773870905,-0.212097667902855,0.126358072713347,0.791499459670856,-0.148056067608177,-7,0.778181545313156,-3.72754046055789,2.33698651971138
"8",11,-2.45439608276984,-4.47939593999113,0.512368945132804,0.395780672507252,-0.700380849878182,-0.891669806651382,0.768023593293983,-1.15716028727082,-0.997021326276421,-2.5289979817173,-0.0895344586181364,-0.0970232140879089,-0.0338156711718533,-0.180187816223431,-1.10667983769941,-2.11167267939678,40,64,46,67,24,21,1,140.533333333333,12.9442026000979,129,137.4,-8.4,9.83348926250521,-5.55885844192325,4.0981147708761,-1.35585814323722,-1.01600663922131,-0.326344370315601,-0.0219020307118686,-1.09534032466781,4.37492766001338,-4.07407510657324,0.0330721313088351,-0.0942179574595595,0.189018910503713,-0.148050605644635,2.81514400401988,-1.58895222223745,49,78,44,82,29,38,0.6,3.9047619047619,1.60949563232591,21.4285714285714,4,17.4285714285714,12.7650396223098,4.21722020252193,6.4004368130503,2.67324457525678,4.65751791389787,6.58672500083001,8.64136090436974,2.40474441447001,4.13014098017598,3.63199639997927,2.570301852488,2.17364467721744,1.77679184130045,3.41060963238482,11.7582176293085,5.74472749043799,6.66500926367312,2.53871537545581,4.62290083402317,5.1966991271558,6.90081242472306,3.89662830164902,5.25666964508668,5.29364971194046,3.60344952578061,2.48060659736869,2.73238157857007,4.11574949910632,-13.3673478472072,-5.33738464148776,0.880951225678908,0.851745586608856,-6.91702611114573,-0.119801333298622,-0.19069737109677,0.570452521283516,-3.39910338455996,-5,2.32914625789046,-1.27647870681996,3.53660201866836
"9",-1,16.0083773128114,-4.64707526967728,5.18528309418348,-3.1602242200812,-0.283462592507829,-0.235550119727273,0.566745163480744,-1.15006072349524,5.5099183638716,-1.85955707740245,0.0353799310214031,-0.0148931914539755,0.441278977977922,-0.112049356980193,4.66265902679085,-2.48266657005577,49,83,54,78,34,24,0.75,1,0,2.42857142857143,1,1.42857142857143,9.83348926250521,-5.55885844192325,4.0981147708761,-1.35585814323722,-1.01600663922131,-0.326344370315601,-0.0219020307118686,-1.09534032466781,4.37492766001338,-4.07407510657324,0.0330721313088351,-0.0942179574595595,0.189018910503713,-0.148050605644635,2.81514400401988,-1.58895222223745,49,78,44,82,29,38,0.6,3.9047619047619,1.60949563232591,21.4285714285714,4,17.4285714285714,13.8746144489991,5.750348029733,7.77183876778927,3.37441839542597,6.57225846119796,3.71788381993335,5.59028009379616,4.27012765005723,5.19946946895745,5.20538750846664,3.38498568369465,2.27212710391709,1.86885281320879,4.04896143102781,11.7582176293085,5.74472749043799,6.66500926367312,2.53871537545581,4.62290083402317,5.1966991271558,6.90081242472306,3.89662830164902,5.25666964508668,5.29364971194046,3.60344952578061,2.48060659736869,2.73238157857007,4.11574949910632,5.26310487806023,2.89153440015137,0.641749796125151,0.643367593020034,-1.07952732531257,-0.077016966293016,0.216258818809768,0.780991648641903,2.74122937058929,5,-1.26865898977066,-2.97952544672345,-1.38629436111989
"10",0,9.59295308603651,-4.25362569761983,3.20917411119049,-1.46854895875941,-1.17320978387327,-0.645621208146779,0.309896926927067,-2.10582507398347,3.49483894738703,-1.226545167646,0.0237078715115074,-0.0167919934813486,0.404956438633639,-0.0438288615544824,3.00424438358058,0.0492491505948555,49,79,49,77,30,28,0.666666666666667,7.33333333333333,2.53640165063291,10.5714285714286,7.57142857142857,3,9.83348926250521,-5.55885844192325,4.0981147708761,-1.35585814323722,-1.01600663922131,-0.326344370315601,-0.0219020307118686,-1.09534032466781,4.37492766001338,-4.07407510657324,0.0330721313088351,-0.0942179574595595,0.189018910503713,-0.148050605644635,2.81514400401988,-1.58895222223745,49,78,44,82,29,38,0.6,3.9047619047619,1.60949563232591,21.4285714285714,4,17.4285714285714,11.1095661433311,4.35347710725015,7.17765397449195,3.51163078955334,6.02549544563921,5.40976867785953,7.06627651699371,4.34230526025774,3.87470889022094,5.7196069570658,3.06858616204077,3.29586788237017,2.0028945186312,2.89076222454549,11.7582176293085,5.74472749043799,6.66500926367312,2.53871537545581,4.62290083402317,5.1966991271558,6.90081242472306,3.89662830164902,5.25666964508668,5.29364971194046,3.60344952578061,2.48060659736869,2.73238157857007,4.11574949910632,-1.54576892077211,-0.776249844163404,0.162073693179215,1.34228370695459,-3.72761865155359,-0.0867902237755386,0.111715784039774,0.186999253443451,-1.44910099327161,1,0.323949452575702,-2.44270324848897,0.638087403376918
